deyim,acıklama
"Ahsen","Çok güzel"
"Ahsen-i takvim","En güzel kıvama koyma, Cenab-ı Hakkın her şeyi kendisine layık en güzel kıvam, sıfat ve surette yaratılması."
"Aht","Sözleşme"
"Ah-u zar","Yüksek sesle ağlama, dövünme."
"Ahü","Ceylan, güzellerin gözü (Mec,)"
"Ahval","Durum, durumlar."
"Ahz","Almak"
"Akça","Para"
"Akdem","İlk, önce, önceki, daha önceki"
"Akıl yetirmek","Akıl erdirmek."
"Akl-ı cüz","Cüz'i akıl, tikel us"
"Akl-ı Küll","Tüm akıl; Tanrı bilgisi"
"Akl-ı Mead","Ahirete dönük akıl"
"Akşamaca","Akşama değin, akşama kadar."
"Aktöre, Atayi","Armağan."
"Al","Hile, aldatma işi."
"Al duvağ","AI duvak. Gelinin yüzüne örtülen al renkli ipek örtü, duvak."
"Al malı","Yağlık, başa bağlanan örtü, al renkli çapı, vala"
"Ala","Ela."
"Ala göz","Ela göz."
"Alacabaz","Doğan, aladoğan, ''Eli alacabazlının''"
"Aladağ","Erciş'in kuzeyinde yer alan dağ sırası. Dede Korkut'ta da geçer. Van Gölü'ne dökülen Deliçay, Hacıdere ve Zilan akarsuları Aladağ sır.asından doğar."
"Aladağ salı","Aladağ düzlükleri."
"Alaik","Alakalar, ilgiler"
"Alak","Alalım."
"Alakaftan","Alaca kumaştan yapılma giysi. Kınalı kekliğin (dağ kekliğinin) siyah ve pas rengi gerdan ve siyah çizgilerle bezeli yan tüyleri."
"Alasan","Alasın."
"Alçağ [alçah]","Alçak yer, yüksel olmayan yer."
"Alçağa","Alçak yere."
"Alçak","Yüksek karşıtı, yüksek olmayan yer ova."
"Alef","Cana yakın, teklifsiz."
"Alem","Yeryüzü ve gökyüzü nesnelerinin tümü, Evren. Dünya, Acun."
"A'lem","Daha iyi bilir, bilirim"
"Alışaban","Tutuşarak. ''Alışıban yanaram men''"
"Alışmak","Tutuşmak, alev almak, alevlenmek."
"Ali","Büyük, yüksek, üstün, yüce, aziz olan."
"Al-i aba","Muhammed, Ali, Fatıma, Hasan ve Hüseyin'den oluşan"
"Al-i Yezid","Muaviye'nin oğlu Yezid ve onun soyundan gelenler"
"Alişan","Şan ve şerefi büyük olan, meşhur, bir çeşit lale."
"Allah-amandır","1-Şaşma, beğenme duygusunu gösterme. 2-Allah aşkına."
"Alma","Elma."
"Alma teki","Elma gibi, elma benzeri."
"Aluptur","Almıştır."
"Alvala","Al renkli ipek dokuma yüz örtüsü."
"Amal","Amel, yapılan iş, eylem, edim."
"Aman","Sığınca, koruyucu, dayanma gücü, umut."
"Amana düşmek","Sığınarak bağışlanma ya da yardım dilemek"
"Amanat","Emanet."
"Amanı aldırma","Umursamazlık, zora koşma"
"Amber","Amber kokusu, güzel koku. [Amberbalığı'ndan elde edilen güzel kokulu kül rengi madde, güzel kokulu kimi maddelerin ortak adı ]"
"Amel","Niyet, itaat, dini bir emri yerine getirme. (Bi amel: Amelsiz)"
"Anasır","Elemanlar , öğeler."
"Anber","Amber."
"Andelip","Bülbül, seher kuşu."
"Annac-annaç","Karşı, karşı yön. ''Annacımdan gelen güzel''"
"Aparmak","Götürmek, alıp gitmek. ''Felek can aparır...''"
"Arabi","Arapça, Arap kavmine mensup."
"Araram","ararım."
"Arasın","Arasını"
"Arayı arayı","Araya araya"
"Araz","Aras Nehri."
"Argaç","Davarların açıkta toplu olarak yattıkları yer, düz dağ sırtları."
"Arkuru-arkurı inen","Karşı çıkan."
"Arma","Eskiden erkeklerin, askerlerin bellerine bağladıkları fişeklik."
"Arş","İslam dini inanışına göre göklerin en yüksek katı, dokuzuncu kat gök."
"Arz'edilen-arzu ediben","Arzu ederek, arzulayarak."
"Arzıhal","Sunu, sunma. ''Arzıhal eyledim visal baçımı''"
"Arzın al","Arzu ettiğini al. (88/3) [arz: Arzu]"
"Arzı'nan Kamber","Yaygın bir halk hikayesinin kahramanları Arzu ile Kamber."
"Arzuman","Arzu, dayanılması güç istek."
"Asitan","Dergah, tekke, kapı eşiği."
"Aslı hariç","Soyu belirsiz, yabancı."
"Aslı kıt","Soysuz, verimsiz."
"Aslı pak","Temiz soylu"
"Asuman","(Asman) Gök, sema."
"Aş","Yemek"
"Aşarsız","Aşarsınız"
"Aşere -i Mübeşşere","Cennete gidecekleri Hz. Muhammed tarafından bildirilen on İslam büyüğü Ebu Bekir, Ömer, Osman, Ali, Talha bin Ubeydullah, Zübeyr bin A vvam, Abdurrahhman bin A vf, Ebu Ubeyde bin Cerrah, Sait bin Zeyd, Sad bin Ebi vakkas."
"Aşık Emrah","Ercişli Emrah."
"Aşık mısan","Aşık mısın."
"Aşıkan","Aşıklan gibi, açıkçasına."
"Aşırma","Kova, bakraç."
"Aşikar","Açık, gizli değil"
"Aşina","Bildik, tanıdık"
"Aşiyan","Kuş yuvası, ev , mesken"
"Aşk dolusu","Halk inancına göre Pir'in, Üçler'in, Erenler'in içirdiği aşk şarabı."
"Aşlak","Aşılama, aşı."
"Aşna","(Aşina) Bildik, tanıdık, bilen, tanıyan, ahbab."
"At","Satranç oyununda iki taşın adı."
"Ataş-ataşa","Ateş, ateşe."
"Ataşına","Ateşine."
"Ataşlara","Ateşlere."
"Ataşlı","Ateşli."
"Ati","İyilik, ihsan"
"Atlanıban-atlanuben","Atla, atlanarak, atlı olarak."
"Attar","Güzel kokular satan, aktar."
"Avara","Avare, boş, yararsız."
"Avare","Başı boş, işsiz."
"Avatmak","Avutmak, teselli etmek"
"Avaz","Yüksek ses"
"Avcu","Avcı"
"Avdet","Dönüş"
"Avlak","Av alanı. (avlağı-Av alanı)"
"Avn","Yardım, yardım eden"
"Avsın","Büyü, tılsım."
"Avsın almaz mar","Büyü, tılsım tutmayan yılan."
"Avuni","Avını."
"Avurd","Yanağın iç tarafı, boş yeri."
"Avurmak","Eğilmek, çevirmek"
"Ayakça","Ayak kelepçesi, ayak bağı."
"Ayan","Belli, açık, meydanda"
"Ayat","Ayetler"
"Aydıvar","Söyler"
"Ayet","Kur'an'ın herhangi bir cümlesi."
"Ayet-i Kurba","Kur'an Şura suresinin 23. ayeti. Burada ''Ya Muhammed sen ümmetine söyle ki; size tebliğ ettiğim din hükümlerine mukabil akrabana (yakınlarına) muhabbetten başka bir şey istemem'' denmektedir. Ayette ''akrabanın karşılığı'' fil-kurba'' sözcüğü bulunduğu için ayet bu adla anılmaktadır ."
"Ayine","Ayna"
"Aylak","İşsiz güçsüz"
"Aymak","Söylemek, hitab etmek"
"Ayn","Göz, göz pınarı, asıl, kendisi,"
"Ayn el yakin","Gönül gözü. Tanrı'yı gerçek olarak gözle görerek bilme, sofilere göre bilgi, bilmek, görmek ve olmak aşamalarına ayrılır. Bir şeyi bilmeye ''ilm-el yakıyn'', bilgisini görüş haline getirmeye ''ayne'l­ yakıyn'', bilginin oluş haline gelmesine ''Hak el yakıyn'' denir."
"Ay'nan","Ayla, ay ile ''yeri ay'nan gün'ün arasındadır.''"
"Aynası","1. Yüzü, 2. Göksü."
"Ayn-el -yakin","Bir şeyi kendi gözüyle görüp öğrenme."
"Ayn-i irşid","İrşadın ta kendisi. Aydınlatma"
"Ayn-i rah","Yol gözlemek."
"Ayrılmanam","Ayrılmam, ayrılamam."
"Azad","Serbest bırakma, azat."
"Azheri","Belli"
"Azim","Kesin karar verme, irade"
"Azimet","Gitme, gidiş"
"Aziz","Sevgide üstün tutulan"
"Azizan","Dostlar , erenler"
"Azl","İşten çıkarma"
"Azmış","Yol sapıtmış"
"Bab","Bahis, kapı."
"Babullah","Allah kapısı."
"Bac","Baç."
"Baç","Haraç, vergi"
"Bade","1. Esriklik veren içki. 2. Pir'in, Üçler'in, Erenler'in içirdiğine inanılan aşık edici içki, şarap."
"Baden","Semiz, İri gövdeli kimse."
"Bad-ı saba","Bahar sabahları, gün doğumunda esen hafif yel."
"Bad-ı sabah","Bad-ı saba"
"Bağ","1. Demet, deste, 2. Üzüm kütüklerinin dikili olduğu toprak parçası, üzümlük. 3. Bahçe."
"Bağ ı Cennet","Cennet bağı, cennet benzeri bahçe."
"Bağ-bağat","Bağ, bağçe"
"Bağban","Bahçıvan, bağcı."
"Bağır","1.Yürek, gönül 2.Göğüs 3. Sine"
"Bağman","Bahçıvan, bağcı."
"Bağrı veran","Gönlü yıkık, üzgün."
"Bağu bahçe-bağu bahca","Bağ-bahçe."
"Bağvan","Bahçıvan, bağcı."
"Baha","Değer."
"Bahah","Bakalım, görelim."
"Bahar","Bakar"
"Bahaya kalmak","Değer biçilebilir olmak."
"Bahça-bahça","Bahçe"
"Bahr","Deniz, büyük göl veya nehir ."
"Bahr-ı muhit","Okyanus."
"Bahr-ı zulmet","Zulmet denizi."
"Baka","Tutam, demet, beste."
"Bakaram","Bakarım."
"Bakasız","Destesiz."
"Bakı","Baki, sürekli, kalıcı."
"Bakırsan","Bakıyorsun."
"Bal ü per","Kanat."
"Bala","Çocuk, yavru."
"Balaban","1. Sazlıklarda yaşayan, tüyleri kızıl-külrengi karışığı renkli, iri bir kuş. 2. Atmaca, doğan gibi avcı kuşlara kimi bölgelerde verilen ad."
"Balaban göz","Keskin bakışlı, iri güzel göz."
"Balınan","Balla, bal ile."
"Balkımak","Parlamak."
"Ban","Otluk."
"Banay","1. Taşlı, kıraç toprak, yamaç. 2.Batı yönü."
"Banı","(Bani) Kurucu, yapan, yapıcı, bina edici."
"Bannamak","Ötmek, seslenmek."
"Bar","1.Yük. 2.Ürün, verim. 3.Meyve ağacının ilk verimi."
"Bara gelmek","Meyve ağacının ilk verime durması, ilk veriminin olgunlaşması."
"Barekallah","[Barek-Allah] Kutlu olsun, hayırlı ve bereketli olsun."
"Barhane","Tutulmuş yük, kervan, kafile."
"Barı","Bari, hiç değilse, hiç olmazsa."
"Bari","Tanrı."
"Basmışam","Basmışım."
"Baş bulama","Utanarak başı öne eğme, yana çevirme."
"Baş gözel","Baş güzel, güzellerin başı."
"Başa yetmek","Sona ermek,"
"Başına dolanmak","Başa dönmek, başına dönmek."
"Başına dönmek","Bir konuyu ya da bir durumu yalvarışla anlatmak, istekte bulunmak."
"Batıl","Boş, beyhude, yalan, çürük."
"Batın","İç, dahili, gizli, sır, esrar."
"Bay","Varlıklı kimse."
"Bayler","Bağlar."
"Baz","Bir şeyin küçük kısmı, parçası, bir miktar, bir kısım."
"Becare-becare","Biçare, çaresiz, umarsız."
"Bed","Bet, kötü, yakışıksız."
"Bedahşan (Badakşan)","Afganistan'da eyalet. Merkezi Feyzabat şehridir. Kökçe nehrinin yukarı yatağında çıkan -bir yakut türü olan- lacivert taşıyla ünlüdür."
"Bedir","Dolunay."
"Bedir nar","mec. Meme."
"Bedirlenmiş ay","Dolunay"
"Bedov at","Soylu at, Arap atı."
"Beg","Bey, ulu kişi."
"Begler","Beyler, ulu kişiler"
"Beğlerinen","Beylerle, beyler ile."
"Beka","Devamlılık, sabitlik."
"Beklersen","Beklersin, bekliyorsun."
"Bel","İnsan bedeninin göğüsle karın arasında kalan daralmış bölüm, bel."
"Bele","1.Böyle, böylece 2.Birlikte"
"Belenmek","Bulanmak, bulaşmak"
"Beli","(Beli best) Evet."
"Beli bükülmek","Beli bükülmek, güçsüz ve umarsız kalmak."
"Belik","Saç örgüsü."
"Belini bükmek","Belini bükmek, umarsız olmak."
"Bend","1.Su benti, büget 2.Bağ, tutarlılık."
"Bende","Köle, kul, hizmetkar."
"Bende defteri","Kul defteri."
"Bene","Bana."
"Benefşe","Menekşe"
"Benevşe","Menekşe."
"Bengi","Tiryaki, esrarkeş."
"Benövşe","Menekşe"
"Benövşeni","Menekşeyi, menekşesini."
"Benzek","Nazire"
"Benziyirsen","Benziyorsun."
"Berat","Rütbe, nişan ve imtiyaz verildiğini bildiren ferman."
"Berbad eylemek","Berbat etmek, yıkmak, bozmak, dağıtmak."
"Berdar","Tutucu, itaat edici ve ettirici, asılmış."
"Bergüzar","Hediye."
"Berhava","Boş, faydasız."
"Beslenen","Beslenen."
"Beş","Beş sayısı."
"Beş arşın bez","mec.Kefen"
"Bey","Arap abecesinin ikinci harfi."
"Beyhuşt","Kökünden, dibinden kopmuş olan, koparılmış."
"Beyrek","Oğuzlar'ın destan kahramanı ''Bamsı Beyrek''. Bamsı Beyrek destanının en eski kolu -biçimi- ''Dede Korkut Kitabı''ndadır. Beyrek'in mezarının Bayburt'ta, Duduzar köyünde olduğu inancı yaygındır."
"Beytullah","Allah'ın evi, kabe."
"Bezenmek","Bezenmek, süslenmek."
"Bezestan","Değerli eşyanın satıldığı kapalı çarşı."
"Bezirgan","Kervan, tüccar"
"Bezm","Meclis."
"Bezm-i irfan","Olgun, kamil İnsanlar meclisi."
"Bıçağ","Bıçak."
"Bıldır","Geçen yıl."
"Bi mekan","Y ersiz yurtsuz."
"Bi-basar","Gözü keskin olmayan, görmeyen."
"Bidar","Uyanık, uykusuz."
"Bider","Tohum."
"Bi-gane","Kayıtsız, alakasız, dünya ile ilgisini kesmiş olanlar."
"Bigüman","Umutsuz, bilgisiz."
"Bi-huş","Akılsız."
"Bikir (Bikr)","Bozulffiamış, temiz."
"Bilbil","Bülbül."
"Bile","Birlikte, bir arada."
"Bilekçe","Kolbağı, kelepçe."
"Billah","Tanrı adına içilen ant."
"Bilmez","Bilgisiz, nobran, nadan."
"Bilmir","Bilmiyor."
"Binin","Binini."
"Birez","Biraz."
"Birin","Birini."
"Bi-vefa","Vefasız."
"Bizar","Bıkmış."
"Bizzazure","Zaruri olarak."
"Boyağ","Boya."
"Boyu selv ağacı","İnce-uzun boylu, selvi boylu."
"Boyunnu","Boyunlu."
"Boz","Açık toprak renginde olan, külrengi."
"Boz at","Boz donlu at ."
"Boz-bulanık","1.Dumanlı, tipili, sisli. 2. Duru olmayan, çok bulanık."
"Boz-ötergi","Tarlakuşu,"
"Bögün","Bugün."
"Böhtan","Bühtan, iftira, kara çalma."
"Böyüten","Büyüten."
"Bubal","Vebal."
"Buhağ","Çene altı, sakal."
"Bulmuşam","Bulmuşum."
"Bulum mı-mi","Bulayım mı?"
"Bulundi","Bulundu."
"Burak","Girdap, anafor."
"Burçak","Baklagillerden, taneleri hayvan yemi olarak kullanılan yıllık bir yem bitkisi. Bu bitkinin mercimeğe benzeyen tanesi."
"Burma","Büklüm, kıvrım."
"Bus etmek","Öpmek."
"Buse","Öpüş."
"Buyumuş","Bu imiş."
"Bühtan","Yalan, iftira."
"Bükülmek","Dönmek, eğilmek."
"Bülbül teki","Bülbül gibi."
"Bülmek","Bilmek."
"Bülmez","Bilmez, bilgisiz, nobran."
"Bülüm","Bileyim."
"Bünyad","Temel, esas, yapı, bina."
"Bünyan","Yapı, bina."
"Bürünüptür","Bürünmüştür."
"Büryan","Biryan kebabı. Kuzu ya da koyun etinin yarım ya da tam gövde olarak tandırda"
"Caba","Fazladan, üstelik, bir şey ödemeden alman şey ."
"Cad","Darı ekmeği."
"Cah","Makam, itibar."
"Cah etmek","İtibar etmek."
"Cahallığ","Gençlik çağı."
"Caht","Bile bile inkar etme."
"Cam","Kadeh, bardak, şişe ve toprak cinsinden şarap kadehi."
"Can ürekten","Candan yürekten, içtenlikle, severekten."
"Canal","Canan, sevgili."
"Canan","Gönülden sevilen, gönül verilmiş olan kadın."
"Canın","Canımın."
"Canpolat Dev","Bir masal yaratığı."
"Cansız at","Tabut, salaca."
"Car","Çarşaf, komşu, yardımcı, medet eden."
"Cayız","Caiz, olabilir, yakışık alan."
"Cazu","1. Cadı, oyunbaz. 2. Çok güzel."
"Cecim","Cicim, örtü ya da perde olarak kullanılan ince kilim."
"Cefa","Büyük sıkıntı, üzgü."
"Cefakar","1.Cefalı. 2.Cefa eden."
"Cehl","Cahillik, ilimden mahrum olmak, tecrübesizlik."
"Cellat amanı","Ölüm cezasına çarptırılmışlara, ölüm yargısının uygulanmasından önce, son isteği için tanınan süre."
"Cem olmak","Toplanmak."
"Cemal","Yüz güzelliği."
"Cemalınnan","Cemalinden, yüz güzelliğinden, yüzünün güzelliğinden."
"Ceran","Sevimli, uzun boylu."
"Cevahir","Cevherler , çok kıymet verilen ve az bulunan şeyler. Çok kıymetli maden veya taşlar. Çok kıymetli söz veya faydalı yazılar."
"Cevli cevran eylemek","Dolaşmak."
"Cevr","Eziyet."
"Cevr etmek","Eza, cefa, eziyet, zulüm, sitem etmek. Tarikat adamının ruhen ilerlemesine mani olan şey."
"Ceyran","Ceylan."
"Cığa","Yeşil."
"Cığa tel","Erkek yabanördeğinin kuyruğunun üstündeki kıvrık yeşil tüyler ve yeşil kanat telekleri."
"Cığalı koşma","Cinaslı koşma, sorguculu koşma."
"Cılga","İnce yol."
"Cidar","Duvar."
"Cim","Osmanlı alfabesinin altıncı harfi olup ''ebced'' hesabında üç sayısının karşılığıdır."
"Cinas","Çok anlamlı bir sözcüğün, her kezinde başka bir anlamını öngörerek yapılan bir söz oyunu sanatı. Değişik cinas biçimleri vardır. [Tam cinas, birleşik cinas (benzeşmeli cinas, farklı cinas), basit cinas, eksik cinas...] Eski Edebiyat'ın bu yaygın söz oyunu sanatından Halk Edebiyatı da nasiplenmiştir. Özellikle manilerde cinasa çok rastlanır."
"Civan","Genç. Genç ve yakışıklı olan."
"Coşarsız","Coşarsınız."
"Cur'a","Yudum."
"Cuş eylemek","Coşmak, kaynamak."
"Cüda","Ayrılık, ayrılmış."
"Cünun","Değişik."
"Cürmümü","Suçumu."
"Çağrışmak","Bir ağızdan bağırmak, yaygara etmek."
"Çal","Ala renk."
"Çalhandı","Çalkandı"
"Çalhanmah","Çalkanmak."
"Çallı-çapraz","Çapraz çizgili bir şal deseni."
"Çalma","1.Başa sarık gibi bağlanan düz ya da işlemeli kumaş. 2.Çember de denilen baş örtüsü, çetme."
"Çalmak","Doğmak, vurmak, atmak"
"Çapraz","Eğik olarak birbiriyle kesişen."
"Çar","Dört."
"Çar anasır","Dört unsur , dört temel unsur .(Toprak-su-hava-güneş)"
"Çar hisar","Dört kale burcu."
"Çar köşe","Dört köşe."
"Çarh","Çark, felek, gök, devreden, dönen."
"Çar-havuz","Büyük havuz."
"Çarh-ı devvar","Durmayıp dönen."
"Çarh-ı gerdun","Dönen çark. (Dönen dünya)"
"Çarh-ı zaman","Dönen zaman, devir."
"Çar-pare","Dört parça, dört kısım."
"Çarpaz","Çapraz."
"Çarpaz dağlamak","Çapraz dağlamak."
"Çatmak","1.Yetmek. 2.Üzücü olaylarla karşılaşmak, uğramak."
"Çekmişem","Çekmişim."
"Çeper","1.Engel, çit, kamıştan yapılan çit . 2.Kırık dal ve yaprak kümesi."
"Çerağ","Mum, çıra."
"Çeri","Asker."
"Çetme","İşlemeli baş örtüsü, sırma işlemeli baş örtüsü, çalma."
"Çevre","Sırma işlemeli baş örtüsü, mendil."
"Çevrişir","Dönüşür."
"Çevrüşmek","1 .Dönüşmek. 2.Devinmek dönmek."
"Çevrüşüpsen","Dönüşmüşsün, dönmüşsün."
"Çeyman","Kıl ya da yünden dokunma yamçı, kepenek."
"Çıham","Çıkayım."
"Çıhdım","Çıktım."
"Çıhıp","Çıkmış."
"Çıhmış","Çıkmış."
"Çıhsa","Çıksa."
"Çıra","Çerağ, kandil."
"Çırağ","Çerağ, kandil, mum, ışık."
"Çiçeğisen","Çiçeğisin."
"Çifte hal","Çifte ben."
"Çimennİ","Çimenli."
"Çimmek","Yıkanmak."
"Çin","1.Çünkü, için. 2.0muz."
"Çit","Başörtüsü, yemeni."
"Çiyn","Omuz."
"Çoh","Çok."
"Çövre","Çevre"
"Çün","Çünkü."
"Çüt","Çift."
"Çüter çüter","Çifter çifter."
"Dad","1.Yakınma anlatan, vah, eyvah anlamında bir ünlem. 2. Ey, hey anlamında bir ünlem."
"Dağ","Kızgın demirle vurulan özlük belirtici damga, işaret, nişan."
"Dağ salı","Dağ düzlüğü, dağ eteği."
"Dağdağa","Çekişme, anlaşmazlık."
"Dağlanmak","1 .Kızgın demirle damgalanmak. 2. Yanmak. 3.Sağaltma amacıyla vücudun yaralı ve sayrılıklı bölümlerinin kızgın demirle yakılması."
"Dağlı","Damgalı."
"Daha","Bundan sonra."
"Daim","Sürekli, her an, daima."
"Dal","Omuz, omuz başı."
"Dalam","Dalayım"
"Dalda","Gölge."
"Daldalanmak","Gölgelenmek."
"Daldalık","Gölgelik."
"Dalgerdan","1.Güzel göğüs. 2.Vücudun omuzla birlikte göğüsten yukarı bölümü, büst. Dalıptır: Dalmıştır, dalıyor."
"Dallanmak","Salınmak, sallanmak."
"Daluptur","Dalmıştır, dalıyor"
"Dam","Tuzak."
"Dane","Tane, tohum, çekirdek."
"Dane-i kısmet","Kısmet tohumu."
"Danışmak","Konuşmak."
"Danıştırmak","Konuşturmak."
"Dankilom","Rum kadın ismi."
"Dar","Ev, yer, dar ağacı."
"Dar çekmek","İdam edilmek."
"Dar gün","Kara gün; sıkıntılı, zor, bunalımlı an."
"Dar I","Sıkıntı, bunalım ."
"Dar II","Darağacı, ölüm hükümlülerini asmak İçin kurulan -kullanılan- sehpa."
"Dara çekilmek","Dağarcında idam edilmek, asılarak İdam edilmek."
"Dara çekmek","Darağacında idam etmek."
"Dara düşmek","Sıkıntıya düşmek, zorda kalmak, bunalmak."
"Daranmak","Taranmak."
"Dar-ı Mansur","Hallac-ı Mansur'un idamı."
"Darılıpsan","Darılmışsın."
"Darıyıp","Taramış."
"Dartmak","Tartmak."
"Daş","Taş."
"Daylak","Tüylü devenin erkeği."
"De ki","Sanki, tut ki."
"Değer","Dokunur."
"Değilem","Değilim"
"Değişke","Varyant."
"Dehr","Dünya, zaman, devir."
"Dehr-i zulmet","Zulüm devri."
"Dem","Soluk, nefes, ses."
"Dem etmek","Sazla çalıp, söylemek."
"Deman","(Damen) etek."
"Demek","Söylemek."
"Demi devran","Dünya demi. (Devir zamanı)"
"Demkeş","Devamlı öten bir güvercin cinsi, şarap içen"
"Der","Der, söyler"
"Dercetmek","Toplamak."
"Derde çatmak","Derde düşmek."
"Derdimend","(Derdmend) tasalı, kaygılı, dertli."
"Dergah","Tekke."
"Derilmek","Toplamak."
"Deriptir","Toplamıştır."
"Dermek","Toplamak."
"Dertli Emrah","Ercişli Emrah."
"Derun","İç taraf, dahil, kalp."
"Dest","El."
"Deste","Demet; sıra."
"Devran","Dünya, zaman."
"Devr-i cihan","Dönen dünya."
"Devşirmek","Toplamak, toparlamak."
"Deyer","Der ki, söyler ki."
"Deyişmek","Karşılıklı şiir söylemek."
"Dırığ","Esirgemek."
"Di","Söyle."
"Didar","Yüz, çehre."
"Didarın kıyamete kalması","Sevgiliyle kavuşmanın, sevgiliye kavuşmanın kıyamete kalması."
"Dide","Göz."
"Dide seli","Gözyaşı."
"Dilber","Güzel."
"Dilçevüren","Dilçeviren, söz gezdirici, dedikoducu."
"Dildar","Sevgilisinin gönlünü çelmiş."
"Dil-inen","Dil ile [dilinen=diliyle ]"
"Dimek","Demek, söylemek"
"Din uğrusu","Din hırsızı."
"Dinnemek","Dinlemek."
"Dinnemez","Dinlemez."
"Dir","Derlemek, toplamak, bir araya getirmek."
"Diskinmek","Korkudan sıçramak: uykudan sıçrayarak uyanmak."
"Diş","Düş, rüya."
"Divana","Divane."
"Diyek","Diyelim, söyleyelim."
"Diyeller","Derler, söylerler."
"Diyer","Der, söyler."
"Diyiş","Deyiş, şiir."
"Dodağ [dodah]","Dudak."
"Dodağınnan","Dudağından."
"Doğancı","Erciş'in Altındede (Zilan) bölgesindeki eski bir yerleşim alanı."
"Dolama","Çuha giysi, kat kat giysi."
"Dolu","1.İçki. 2.Halk inancında Pir'in , Üçler'in, Erenler'in-Hakk katından aşıklık verilenlere sunduğu kutsal içkiyle dolu kadeh, kase."
"Donburcuh-dunburcuh","Tomurcuk."
"Doru","Bir at tonu. [Gövdesi kızıl, yelesi ve (çoğunlukla) ayakları kara olan at.]"
"Dost","1. Tanrı. 2. Sevgili"
"Dostlar dostu","Zor durumda kalana yardım edici Hızır."
"Doymiyi","Doymuyor."
"Döndi","Döndü."
"Dönmenik","Dönmeyiz."
"Dört iklim","Dört yön; Doğu, batı, güney, kuzey yönlerindeki ülkeler."
"Dört kitap","Büyük dinlerce kutsal sayılan dört din kitabı. Kur'an, İncil, Tevrat, Zebur ."
"Dört köşe","Dört yön. Doğu, batı, kuzey, güney yönleri, bu yönlerdeki ülkeler, yerler."
"Döş","Etek."
"Döşek","Yatak, minder."
"Döşürmek","Devşirmek, toplamak."
